Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Premier Viality and Wellness,New Quantity Premier Viality and Wellness,Stock Alert Enabled Premier Viality and Wellness,Stock Alert Count Premier Viality and Wellness,Modifier Set - Injectable Supplies
OIG2YDGL6VZROFSAONNF6ALJ,ABP-7 3000 mcg/mL — SQ Injectable,,3000 mcg/mL · 3 mL,ABP7-3000-SQ-3ML,Sterile subcutaneous injectable. Concentration and vial size vary by selection.,Injectables,Injectables,,,abp7-sq,,hidden,Physical good,,,,Y,N,N,Y,236.25,,N,,N,,Y,Strength/Size,3000 mcg/mL · 3 mL,,,,,Y
YTVRKNMNCI4GXETGMFURJ76J,ABP-7 3000 mcg/mL — SQ Injectable,,3000 mcg/mL · 5 mL,ABP7-3000-SQ-5ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,328.13,,N,,,,Y,Strength/Size,3000 mcg/mL · 5 mL,,,,,Y
6Q2OMXSN2IEMQ55VMGMCE3MB,ACE-031 — SQ Injectable,,10 mg/mL · 5 mL,ACE031-10000-SQ-5ML,Sterile subcutaneous injectable compounded by a licensed pharmacy. Prescription required.,Injectables,Injectables,,,ace-031-sq-injectable,,hidden,Physical good,,,,Y,N,N,Y,323.75,,N,,N,,Y,Strength/Size,10 mg/mL · 5 mL,,,N,0,Y
JOFZKIUJM2LRHZ5VMVTQHYYK,AOD-9604 — SQ Injectable,,600 µg/mL · 10 mL,AOD-600-SQ-10ML,Sterile subcutaneous injectable compounded by a licensed pharmacy. Prescription required.,Injectables,Injectables,,,aod-9604-sq-injectable,,hidden,Physical good,,,,Y,N,N,Y,218.75,,N,,N,,Y,Strength/Size,600 µg/mL · 10 mL,,,N,0,Y
OGE44AIBTW6VDIN4HJSKAMFM,Alpha-GPC 75 mg/mL — Nasal Spray,,75 mg/mL · 7.5 mL,AGPC-75-NS-75ML,Compounded nasal spray. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,alpha-gpc-nasal,,hidden,Physical good,,,,Y,N,N,Y,105.00,,N,,N,,Y,Strength/Size,75 mg/mL · 7.5 mL,,,,,Y
75L34USNBKGJWVYINTDXFGKJ,Alpha-GPC 75 mg/mL — Nasal Spray,,75 mg/mL · 15 mL,AGPC-75-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,131.25,,N,,,,Y,Strength/Size,75 mg/mL · 15 mL,,,,,Y
YWI74LDY6T3RYSGDC4MA6VQF,Amino AGZ — Capsule,,30 Count,AMINOAGZ-CAP-30,30-count capsule bottle. Prescription required.,Capsules,Capsules,,,amino-agz-capsule,,hidden,Physical good,,,,Y,N,N,Y,52.50,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
N36KSYMVOOB7XEBIM3HBZD7P,Amino AGZ — Injectable,,200 mg/mL · 10 mL,AMINOAGZ-200-SQ-10ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,amino-agz,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,200 mg/mL · 10 mL,,,N,0,Y
Z6V7BUBOJ5LIZT2JCUD26NQP,Amino AGZ — Injectable,,200 mg/mL · 30 mL,AMINOAGZ-200-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,87.50,,N,,,,Y,Strength/Size,200 mg/mL · 30 mL,,,N,0,Y
43C7GVPK5QTOMGW7SI2YKCUQ,Amino Complex I — Injectable,,Blend · 10 mL,AMINO1-SQ-10ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,amino-complex-1,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,Blend · 10 mL,,,N,0,Y
ABTHWC2V2TPNV6RJCATAHU3Y,Amino Complex II — Injectable,,Blend · 10 mL,AMINO2-SQ-10ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,amino-complex-2,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,Blend · 10 mL,,,N,0,Y
MYHZTYY3JL6SVV3RTKS3G5CG,Amino Complex II — Injectable,,Blend · 30 mL,AMINO2-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,113.75,,N,,,,Y,Strength/Size,Blend · 30 mL,,,N,0,Y
VBL7EWGEHJJXOBI3GUPEZXIY,Amino Complex III — Injectable,,Blend · 10 mL,AMINO3-SQ-10ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,amino-complex-3,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,Blend · 10 mL,,,N,0,Y
SHTRNORZNX2LF2N7ESUPXLT5,Amino Complex III — Injectable,,Blend · 30 mL,AMINO3-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,113.75,,N,,,,Y,Strength/Size,Blend · 30 mL,,,N,0,Y
24VLI74YMKBBD4UIIVYWXXMZ,Amino-B — Injectable,,Blend · 30 mL,AMINOB-SQ-30ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,amino-b,,hidden,Physical good,,,,Y,N,N,Y,87.50,,N,,N,,Y,Strength/Size,Blend · 30 mL,,,N,0,Y
M4LXP6SI7ZZD7IV2INQFRZHT,Arginine (L) 200 mg/mL — Injectable,,200 mg/mL · 10 mL,ARGININE-200-SQ-10ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,arginine-200,,hidden,Physical good,,,,Y,N,N,Y,52.50,,N,,N,,Y,Strength/Size,200 mg/mL · 10 mL,,,N,0,Y
MN4TZPOTBMG4X2XCEPWGDHJU,Arginine (L) 200 mg/mL — Injectable,,200 mg/mL · 30 mL,ARGININE-200-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,61.25,,N,,,,Y,Strength/Size,200 mg/mL · 30 mL,,,N,0,Y
4ITUQZ3OGB5NJ57CYCZXPR4T,Ascorbic Acid (Vitamin C) 500 mg/mL — Injectable,,500 mg/mL · 30 mL,ASCORBIC-500-SQ-30ML,Sterile injectable Vitamin C compounded by a licensed pharmacy.,Injectables,Injectables,,,ascorbic-acid-500,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,500 mg/mL · 30 mL,,,N,0,Y
7ZXE5TDGXZOAIU3UDHZBFLAN,Ascorbic Acid (Vitamin C) 500 mg/mL — Injectable,,500 mg/mL · 10 mL,ASCORBIC-500-SQ-10ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,43.75,,N,,,,Y,Strength/Size,500 mg/mL · 10 mL,,,N,0,Y
JAHLNE6625MPJNO2R5CMK7OP,B-Amino + Taurine — Injectable,,Blend · 10 mL,BAMINO-TAURINE-SQ-10ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,b-amino-taurine,,hidden,Physical good,,,,Y,N,N,Y,52.50,,N,,N,,Y,Strength/Size,Blend · 10 mL,,,N,0,Y
VD5263RF6CTTLWJQR4UPLIPB,B-Amino + Taurine — Injectable,,Blend · 30 mL,BAMINO-TAURINE-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,175.00,,N,,,,Y,Strength/Size,Blend · 30 mL,,,N,0,Y
OSQTSUHH33VYO7PFH2LGZZ6U,B-Complex — Injectable,,Blend · 10 mL,BCOMPLEX-SQ-10ML,Sterile injectable B-vitamin blend compounded by a licensed pharmacy.,Injectables,Injectables,,,b-complex,,hidden,Physical good,,,,Y,N,N,Y,43.75,,N,,N,,Y,Strength/Size,Blend · 10 mL,,,N,0,Y
Y5IDM6UYVCTJFMF6RLP5OQVL,B-Complex — Injectable,,Blend · 30 mL,BCOMPLEX-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,131.25,,N,,,,Y,Strength/Size,Blend · 30 mL,,,N,0,Y
ZAW3V77O2MSZ5TUA6YS2IKZZ,BCAA — Injectable,,Blend · 10 mL,BCAA-SQ-10ML,Sterile injectable amino blend compounded by a licensed pharmacy.,Injectables,Injectables,,,bcaa,,hidden,Physical good,,,,Y,N,N,Y,70.00,,N,,N,,Y,Strength/Size,Blend · 10 mL,,,N,0,Y
QFCU6MLNX73RCZTPG26OGOGA,BCAA — Injectable,,Blend · 30 mL,BCAA-SQ-30ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,78.75,,N,,,,Y,Strength/Size,Blend · 30 mL,,,N,0,Y
KAICE66SCR4UY572DFGHXLNI,Biotin (Vitamin B7) 1 mg — Capsule,,30 Count,BIOTIN-1MG-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,biotin-1mg,,hidden,Physical good,,,,Y,N,N,Y,28.88,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
F6J6MRCFMZX6PQP35JWXG2SU,Biotin (Vitamin B7) 5 mg — Capsule,,30 Count,BIOTIN-5MG-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,biotin-5mg,,hidden,Physical good,,,,Y,N,N,Y,34.13,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
G4EJBG5ICQ65VBH76DYQPUB4,Biotin 10 mg/mL — Injectable,,10 mg/mL · 30 mL,BIOTIN-10-SQ-30ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,biotin-10mg,,hidden,Physical good,,,,Y,N,N,Y,131.25,,N,,N,,Y,Strength/Size,10 mg/mL · 30 mL,,,N,0,Y
QAEWDKTA4S6R242N4PBFKRM2,Biotin 10 mg/mL — Injectable,,10 mg/mL · 10 mL,BIOTIN-10-SQ-10ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,35.00,,N,,,,Y,Strength/Size,10 mg/mL · 10 mL,,,N,0,Y
PL2DZRIIAGX64HNXGIIN7BRI,Biotin 200 mcg + Finasteride 1.25 mg — Capsule,,30 Count,BIOTIN-200-FIN-1250-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,biotin-fin-200-1250,,hidden,Physical good,,,,Y,N,N,Y,78.75,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
QYZET7W3YXSEKGTTJO5BZ33F,Biotin 3 mg + Dutasteride 0.5 mg + Minoxidil 2.5 mg — Capsule,,30 Count,BIOTIN-3-DUT-05-MIN-25-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,biotin-dut-min,,hidden,Physical good,,,,Y,N,N,Y,65.63,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
HUBUZRESUVYXCQQEEPSU3IDR,Biotin 5 mg + Minoxidil 1.5 mg — Capsule,,30 Count,BIOTIN-5-MIN-15-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,biotin-min-5-15,,hidden,Physical good,,,,Y,N,N,Y,39.38,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
C3URVP33CT22L26LF6J2O2CW,Biotin 5 mg/mL — Injectable,,5 mg/mL · 30 mL,BIOTIN-5-SQ-30ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,biotin-5mg,,hidden,Physical good,,,,Y,N,N,Y,70.00,,N,,N,,Y,Strength/Size,5 mg/mL · 30 mL,,,N,0,Y
HQBCJIAHYT2QATGFIN2RF5AL,Biotin 5 mg/mL — Injectable,,5 mg/mL · 10 mL,BIOTIN-5-SQ-10ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,87.50,,N,,,,Y,Strength/Size,5 mg/mL · 10 mL,,,N,0,Y
K47KFHWLBRQLIJOM3A5HFEC4,Biotin 500 mcg + Finasteride 1 mg — Capsule,,30 Count,BIOTIN-500-FIN-1000-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,biotin-fin-500-1000,,hidden,Physical good,,,,Y,N,N,Y,105.00,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
HKN3XLESCKOQRSFEHUB5W2LZ,CJC-1295 + N-Acetyl Ipamorelin + Sermorelin — SQ Injectable,,500/2000/2000 µg/mL · 5 mL,CJCIPA-SERM-500-2000-2000-SQ-5ML,Sterile subcutaneous injectable compounded by a licensed pharmacy. Prescription required.,Injectables,Injectables,,,cjc-ipa-serm-sq-injectable,,hidden,Physical good,,,,Y,N,N,Y,227.50,,N,,N,,Y,Strength/Size,500/2000/2000 µg/mL · 5 mL,,,N,0,Y
Y2U4HSIKQYSHANLT6RQH6JWL,Carnitine (L) 100 mg/mL — Injectable,,100 mg/mL · 30 mL,CARNITINE-100-SQ-30ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,carnitine-100,,hidden,Physical good,,,,Y,N,N,Y,52.50,,N,,N,,Y,Strength/Size,100 mg/mL · 30 mL,,,N,0,Y
I25XYNEB3DS3JD2QFO3UE62W,Carnitine (L) 100 mg/mL — Injectable,,100 mg/mL · 10 mL,CARNITINE-100-SQ-10ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,52.50,,N,,,,Y,Strength/Size,100 mg/mL · 10 mL,,,N,0,Y
OSQZWF26AYDR4O6N4KVJRT3Q,Carnitine (L) 500 mg/mL — Injectable,,500 mg/mL · 30 mL,CARNITINE-500-SQ-30ML,Sterile injectable compounded by a licensed pharmacy.,Injectables,Injectables,,,carnitine-500,,hidden,Physical good,,,,Y,N,N,Y,64.75,,N,,N,,Y,Strength/Size,500 mg/mL · 30 mL,,,N,0,Y
3LSU7ZLHG6NZ2IONNNJWE7V5,Carnitine (L) 500 mg/mL — Injectable,,500 mg/mL · 10 mL,CARNITINE-500-SQ-10ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,61.25,,N,,,,Y,Strength/Size,500 mg/mL · 10 mL,,,N,0,Y
Z2NJFSVJ7GBAPD2LQECCUMLC,Cyanocobalamin (Vit B12) (1000mcg) + Semaglutide (1000mcg) per mL -- SQ Injectable [5mL],,Regular,,,,,,,,,visible,Physical good,,,,Y,N,N,Y,225.00,,N,,N,,N,,,,,,,Y
7UVTRT2A2YV3PUS5MBKC2LCQ,Dihexa 5 mg/mL — Nasal Spray,,5 mg/mL · 7.5 mL,DIHEXA-5-NS-75ML,Compounded nasal spray suspension. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,dihexa-nasal,,hidden,Physical good,,,,Y,N,N,Y,96.25,,N,,N,,Y,Strength/Size,5 mg/mL · 7.5 mL,,,,,Y
JCGYGKWAECV6EWWQ4ZSHV5M3,Dihexa 5 mg/mL — Nasal Spray,,5 mg/mL · 15 mL,DIHEXA-5-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,131.25,,N,,,,Y,Strength/Size,5 mg/mL · 15 mL,,,,,Y
TKT5RBNAYE4BQ2VANR4WPZJI,Dutasteride 1.25 mg — Capsule,,30 Count,DUTASTERIDE-1250-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,dutasteride-1250,,hidden,Physical good,,,,Y,N,N,Y,60.38,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
XXC4RDCPX6EEVEDTT2I4AJWR,Finasteride 0.5 mg — Capsule,,30 Count,FINASTERIDE-05-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,finasteride-05,,hidden,Physical good,,,,Y,N,N,Y,47.25,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
4LYFSNL2ZU5PICNWWWD6XEPX,Finasteride 1 mg — Tablet,,30 Count,FINASTERIDE-1MG-TAB-30,30-count tablet bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,finasteride-1mg-tab,,hidden,Physical good,,,,Y,N,N,Y,23.63,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
L4WXDBJAKCDFTGEVOS25FEYC,Finasteride 2.5 mg — Capsule,,30 Count,FINASTERIDE-25-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,finasteride-25,,hidden,Physical good,,,,Y,N,N,Y,105.00,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
CONTMHFNL7SLVYIB77LPW3X7,GHK-Cu 5 mg — Capsule,,30 Count,GHKCU-5MG-CAP-30,30-count capsule bottle. Compounded by a licensed pharmacy. Prescription required.,Capsules,Capsules,,,ghk-cu-5mg,,hidden,Physical good,,,,Y,N,N,Y,47.25,,N,,N,,Y,Strength/Size,30 Count,,,N,0,Y
CLS67UACLHRNHHVH4SOPPXP4,GHK-Cu 5 mg/mL — Nasal Spray,,5 mg/mL · 7.5 mL,GHKCU-5-NS-75ML,Compounded nasal spray. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,ghkcu-nasal,,hidden,Physical good,,,,Y,N,N,Y,122.50,,N,,N,,Y,Strength/Size,5 mg/mL · 7.5 mL,,,,,Y
EWB6FJMDEGV3LU4N6H4G275M,GHK-Cu 5 mg/mL — Nasal Spray,,5 mg/mL · 15 mL,GHKCU-5-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,148.75,,N,,,,Y,Strength/Size,5 mg/mL · 15 mL,,,,,Y
JWUWXKAZAISG2Q3Z7BCWFJDM,Glutathione 60 mg/mL — Nasal Spray,,60 mg/mL · 7.5 mL,GLUTA-60-NS-75ML,Compounded nasal spray. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,glutathione-nasal,,hidden,Physical good,,,,Y,N,N,Y,43.75,,N,,N,,Y,Strength/Size,60 mg/mL · 7.5 mL,,,,,Y
